word,phoneme,en_short,vi,hint_level
from A to Z,,including everything,从A到Z,1
from (point) A to (point) B,,from one place to another,从A（点）到B（点）,1
aardvark,/ˈɑɹdˌvɑɹk/,a large African animal,土豚,2
abacus,/ˈæbəkəs/,a device used for calculating,算盘,2
abalone,/ˌæbəˈɫoʊni/,a type of fish with a shell,鲍鱼,1
abandonment,/əˈbændənmənt/,an act of giving up property,放弃,3
abandon,/əˈbændən/,to leave and never return,放弃,5
abatement,/əˈbeɪtmənt/,an act of making less,减少,1
abattoir,/ˌæbətˈwɑɹ/,place where animals are killed,屠宰场,1
abbess,,female head of a religious home,女院长,1
abbey,/ˈæbi/,a place men live and pray,修道院,3
abbot,/ˈæbət/,the head of a religious house,方丈,3
abbreviation,/əˌbɹiviˈeɪʃən/,a short form of a word,缩写,4
ABC,/ˈeɪˌbiˌsi/,the letters of the alphabet,ABC,1
abdication,/ˌæbdɪˈkeɪʃən/,the act of formally resigning,退位,1
abdomen,"/ˈæbdəmən/, /æbˈdoʊmən/",rear part of an insect's body,腹部,3
abduction,"/æbˈdəkʃən/, /əbˈdəkʃən/",a movement of a body part,绑架,2
abductor,"/æbˈdəktɝ/, /əbˈdəktɝ/",one who takes people by force,绑架者,1
aberration,/ˌæbɝˈeɪʃən/,a thing that is not expected,像差,2
abeyance,/əˈbeɪəns/,a temporary ending,暂停,1
abhorrence,/əbˈhɔɹəns/,hate and anger,憎恶,1
ablution,/əˈbɫuʃən/,the act of washing oneself,沐浴,1
abnormality,/ˌæbnɔɹˈmæɫəti/,a thing that is not usual,紊乱 etc.,3
abode,/əˈboʊd/,the place where one lives,住所,2
abolition,/ˌæbəˈɫɪʃən/,the act of ending something,废除,4
abolitionist,/ˌæbəˈɫɪʃənəst/,one who wants to stop slavery,废奴主义者,1
abomination,/əˌbɑməˈneɪʃən/,something that causes hatred,厌恶,2
aboriginal,/ˌæbɝˈɪdʒənəɫ/,a native,土著,3
aborigine,/ˌæbɝˈɪdʒəni/,a native,原住民,1
abortionist,/əˈbɔɹʃənɪst/,one who stops a pregnancy,堕胎者,1
abrasion,/əˈbɹeɪʒən/,the act of damaging a thing,磨损,1
abrasiveness,,quality of being not pleasant,磨蚀性,1
abrasive,/əˈbɹeɪsɪv/,causing damage,磨料,3
abridgment,,a shorter version,删节,1
abridgement,/əˈbɹɪdʒmənt/,a shorter version,删节,1
abrogation,/ˌæbɹəˈɡeɪʃən/,an official act of cancelling,废除,1
abruptness,/əˈbɹəptnəs/,a rude manner,突然性,1
abscess,/ˈæbˌsɛs/,an area of infected tissue,脓肿,1
absconder,,one who hides from the law,潜逃者,1
in someone's absence,,while one is away,在某人不在的情况下,1
absentee,/ˌæbsənˈti/,one who is not present,缺席者,2
absenteeism,/ˌæbsənˈtiɪzəm/,habit of being away from work,缺勤,1
absentmindedness,,state of thinking of one thing,心不在焉,1
absinthe,/ˈæbsɪnθ/,a green alcoholic drink,苦艾酒,1
absoluteness,/ˈæbsəˌɫutnəs/,the quality of being final,绝对性,1
absolution,/ˌæbsəˈɫuʃən/,act of excusing one for sins,赦免,2
